ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
250,1.5,1.0,1.0,45,10.099699910631461,1.0271946008731858,-4.5171557499921855,58.620689655172406,58,2.657703154500049
250,1.5,1.0,1.0,25,10.099699910631461,1.0271946008731858,-4.5171557499921855,58.620689655172406,58,2.657703154500049
150,1.5,1.5,1.0,25,9.919905594261218,0.5390739867027295,-12.462376524829,56.666666666666664,60,2.055117275894676
250,1.5,1.0,0.5,25,9.855446378413545,1.0028822789782603,-4.526274075296177,63.49206349206349,63,2.5875303354173216
250,1.5,1.0,0.5,35,9.855446378413545,1.0028822789782603,-4.526274075296177,63.49206349206349,63,2.5875303354173216
250,1.5,1.0,0.5,45,9.855446378413545,1.0028822789782603,-4.526274075296177,63.49206349206349,63,2.5875303354173216
200,1.5,1.0,1.5,25,9.747409454570242,0.991936610542898,-4.4884929384613965,50.847457627118644,59,2.158234290851516
200,1.5,1.0,1.5,35,9.747409454570242,0.991936610542898,-4.4884929384613965,50.847457627118644,59,2.158234290851516
200,1.5,1.0,1.5,45,9.747409454570242,0.991936610542898,-4.4884929384613965,50.847457627118644,59,2.158234290851516
100,1.5,1.5,0.5,45,9.628228618758166,0.5660275259619579,-12.709261688646478,56.451612903225815,62,1.6282931925555415
100,2.0,2.0,0.5,25,9.525579254017412,0.47361105718217594,-14.07732576893157,62.5,64,1.6820529180887347
200,1.5,1.0,1.0,35,9.507361097322773,0.9702008865024425,-4.4884929384613965,55.932203389830505,59,2.1472448271527043
200,1.5,1.0,1.0,45,9.507361097322773,0.9702008865024425,-4.4884929384613965,55.932203389830505,59,2.1472448271527043
200,1.5,1.0,1.0,25,9.507361097322773,0.9702008865024425,-4.4884929384613965,55.932203389830505,59,2.1472448271527043
200,1.5,1.0,0.5,45,9.346956569911363,0.9548332603668546,-4.497578115768707,60.9375,64,2.057482745798283
200,1.5,1.0,0.5,35,9.346956569911363,0.9548332603668546,-4.497578115768707,60.9375,64,2.057482745798283
200,1.5,1.0,0.5,25,9.346956569911363,0.9548332603668546,-4.497578115768707,60.9375,64,2.057482745798283
250,2.5,1.0,1.0,25,9.236583919436889,0.8490209286695045,-5.272547624278479,65.95744680851064,47,3.0791692342867316
250,2.5,1.0,1.0,35,9.236583919436889,0.8490209286695045,-5.272547624278479,65.95744680851064,47,3.0791692342867316
250,2.5,1.0,1.0,45,9.236583919436889,0.8490209286695045,-5.272547624278479,65.95744680851064,47,3.0791692342867316
250,2.5,1.0,1.5,45,9.075468785815664,0.834968636611144,-5.272547624278479,55.319148936170215,47,2.5334900470627733
250,2.5,1.0,1.5,25,9.075468785815664,0.834968636611144,-5.272547624278479,55.319148936170215,47,2.5334900470627733
250,2.5,1.0,1.5,35,9.075468785815664,0.834968636611144,-5.272547624278479,55.319148936170215,47,2.5334900470627733
200,2.5,1.0,1.0,35,8.926610191760501,0.8207702104692794,-5.244853899496604,63.26530612244898,49,2.604405429275528
200,2.5,1.0,1.0,25,8.926610191760501,0.8207702104692794,-5.244853899496604,63.26530612244898,49,2.604405429275528
200,2.5,1.0,1.0,45,8.926610191760501,0.8207702104692794,-5.244853899496604,63.26530612244898,49,2.604405429275528
100,1.5,1.5,0.5,35,8.866941516790193,0.5185201176200734,-12.598756973198888,56.451612903225815,62,1.6282931925555415
200,2.5,1.0,1.5,35,8.765495058139276,0.8066924611338471,-5.244853899496604,53.06122448979592,49,2.20291872232406
200,2.5,1.0,1.5,45,8.765495058139276,0.8066924611338471,-5.244853899496604,53.06122448979592,49,2.20291872232406
200,2.5,1.0,1.5,25,8.765495058139276,0.8066924611338471,-5.244853899496604,53.06122448979592,49,2.20291872232406
250,2.5,1.0,0.5,45,8.65205273534395,0.7965252949526674,-5.293738496876699,65.3061224489796,49,2.509656294037218
250,2.5,1.0,0.5,25,8.65205273534395,0.7965252949526674,-5.293738496876699,65.3061224489796,49,2.509656294037218
250,2.5,1.0,0.5,35,8.65205273534395,0.7965252949526674,-5.293738496876699,65.3061224489796,49,2.509656294037218
200,1.5,1.5,0.5,45,8.62641371221056,0.5064990821644635,-12.534015266350496,60.0,60,1.933779508111413
150,2.5,1.0,1.0,45,8.570322237848595,0.7911324200263778,-5.192805180552417,61.224489795918366,49,2.2400545055023504
150,2.5,1.0,1.0,25,8.570322237848595,0.7911324200263778,-5.192805180552417,61.224489795918366,49,2.2400545055023504
150,2.5,1.0,1.0,35,8.570322237848595,0.7911324200263778,-5.192805180552417,61.224489795918366,49,2.2400545055023504
150,2.5,1.0,1.5,35,8.447868933459722,0.7802836598028406,-5.192805180552417,52.083333333333336,48,1.9778101603713452
150,2.5,1.0,1.5,25,8.447868933459722,0.7802836598028406,-5.192805180552417,52.083333333333336,48,1.9778101603713452
150,2.5,1.0,1.5,45,8.447868933459722,0.7802836598028406,-5.192805180552417,52.083333333333336,48,1.9778101603713452
200,2.5,1.0,0.5,45,8.245723658393873,0.7607762713974189,-5.361456882380844,62.745098039215684,51,2.1094970180876507
200,2.5,1.0,0.5,35,8.245723658393873,0.7607762713974189,-5.361456882380844,62.745098039215684,51,2.1094970180876507
200,2.5,1.0,0.5,25,8.245723658393873,0.7607762713974189,-5.361456882380844,62.745098039215684,51,2.1094970180876507
150,2.5,1.0,0.5,45,7.960532010093703,0.7369450108888941,-5.30919837964372,62.745098039215684,51,1.8731140136218558
150,2.5,1.0,0.5,35,7.960532010093703,0.7369450108888941,-5.30919837964372,62.745098039215684,51,1.8731140136218558
150,2.5,1.0,0.5,25,7.960532010093703,0.7369450108888941,-5.30919837964372,62.745098039215684,51,1.8731140136218558
200,1.5,1.5,0.5,35,7.845244928137672,0.45991975414414604,-12.61688147592277,60.0,60,1.933779508111413
100,3.0,2.0,0.5,45,7.68953661618043,0.4630786305996845,-13.71829475050247,61.40350877192983,57,1.2227148606687928
150,2.0,1.0,1.0,35,7.603737130701374,0.7177820246551853,-4.869103173351441,61.111111111111114,54,2.130383384529612
150,2.0,1.0,1.0,25,7.603737130701374,0.7177820246551853,-4.869103173351441,61.111111111111114,54,2.130383384529612
150,2.0,1.0,1.0,45,7.603737130701374,0.7177820246551853,-4.869103173351441,61.111111111111114,54,2.130383384529612
100,2.5,2.0,0.5,45,7.57588155688918,0.4102418867490869,-10.328429224684644,65.0,60,1.6034599134492244
100,1.5,1.5,0.5,25,7.428076145818505,0.43498613165012884,-12.700352261216164,56.451612903225815,62,1.6282931925555415
200,1.5,1.5,0.5,25,7.358137464606171,0.4283132684891555,-12.669110665615769,60.0,60,1.933779508111413
150,2.0,1.0,0.5,45,7.30813289048876,0.6898647103392915,-4.884531955009552,64.91228070175438,57,2.0143913541537777
150,2.0,1.0,0.5,35,7.30813289048876,0.6898647103392915,-4.884531955009552,64.91228070175438,57,2.0143913541537777
150,2.0,1.0,0.5,25,7.30813289048876,0.6898647103392915,-4.884531955009552,64.91228070175438,57,2.0143913541537777
150,1.5,1.0,1.5,35,7.26566035248241,0.7217289451283382,-6.86781939446276,51.66666666666667,60,2.2290307684893356
150,1.5,1.0,1.5,45,7.26566035248241,0.7217289451283382,-6.86781939446276,51.66666666666667,60,2.2290307684893356
150,1.5,1.0,1.5,25,7.26566035248241,0.7217289451283382,-6.86781939446276,51.66666666666667,60,2.2290307684893356
250,1.5,1.5,1.5,25,6.779536212034509,0.36298059207057454,-12.238626935449792,51.92307692307693,52,1.9764293881271617
250,1.5,1.5,1.5,35,6.7397241621382635,0.3625419338941617,-12.242798890214857,51.92307692307693,52,1.9764293881271617
250,1.5,1.5,1.5,45,6.699912112242054,0.3618091346001783,-12.246973690256901,51.92307692307693,52,1.9764293881271617
250,2.5,1.5,0.5,45,6.350130264844102,0.4658903821901338,-5.515004299614079,69.38775510204081,49,2.589519182260296
100,2.5,2.0,0.5,35,6.137398004095903,0.32817716109573963,-11.067935731484956,65.0,60,1.6034599134492244
200,1.5,1.5,1.0,45,5.816915385380362,0.3406174031890367,-12.046853563960214,55.172413793103445,58,2.127702312246502
100,3.0,2.0,0.5,35,5.552212705993661,0.32977443921374233,-14.931638372158817,61.40350877192983,57,1.2227148606687928
250,2.0,1.0,1.5,25,5.5481870853042885,0.5526739286318346,-5.325311273878275,55.769230769230774,52,2.37539673839804
250,2.0,1.0,1.5,45,5.5481870853042885,0.5526739286318346,-5.325311273878275,55.769230769230774,52,2.37539673839804
